id,title,icon,minIcon,bagType,bindType,diamondPrice,attrId,color,suitPartId,broadcast,level,career,model,a_fx_1,a_fx_2,a_fx_3,a_fx_4,reward,buffs,isShow,propType,useVip,k_useType_1,v_useType_1,k_useType_2,v_useType_2,k_useType_3,v_useType_3,k_useType_4,v_useType_4,goldPrice,diamondReplace,isflash,cdGroup,dailyTimes,interval,limType,morphIds,des,way,addTime,weapon,legend,endRow
150,小圣水,It_holy_01,,2,1,,,1,,,1,,,,110,,,,,,5,,type,7,num,100,,,,,10,,,107,,10,,,使用后可清除100点恶名值,通过商店购买,,,,
151,大圣水,It_holy_02,,2,1,,,1,,,1,,,,110,,,,,,5,,type,7,num,500,,,,,100,,,107,,10,,,使用后可清除500点恶名值,通过商店购买,,,,
152,祝福圣水,It_expwater_2,,2,1,,,1,,,1,,,,110,,,,[202],,20,,,,,,,,,,10,,,107,,10,,,使用后3小时内圣物祝福值不会因死亡而下降,通过商店购买,,,,
153,多倍掉落药水,It_holy_02,,2,1,,,4,,,1,,,117,110,,,,[204],,2,,type,7,,,,,,,100,,,,,,,,使用后在2小时内野外小怪10倍掉落,活跃度奖励,,,,
200,复活币,It_fuhuobi,Cur_gold_s,2,1,,,1,,,1,,,,110,,,,,,,,,,,,,,,,100,40,,,,,,,死亡时消耗一枚复活币可原地复活,可在商店内购买,,,,
250,军团徽章,Cur_guildticket,Cur_guildticket_s,2,0,,,3,,,1,0,,117,112,,,,,,,,,,,,,,,,,,,,,,,,军团徽章，奖励给对军团有贡献的人，可用于抽取军团宝箱,军团任务和元素副本获得,,,,
300,资源,It_buff_cons_02,Cur_gold_s,0,0,,,3,,,1,,,117,112,,,,,,,,,,,,,,,,0,,,,,,,,夺宝战掉落物,获取途径描述获取途径描述,,,,
301,军团金币,Cur_guildgold,Cur_guildgold_s,0,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,军团内消耗货币，可用于开启元素之战,通过军团祭坛获得,,,,
302,军团经验,Cur_guildexp,Cur_guildexp_s,0,0,,,0,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,可供军团升级,通过军团祭坛和军团任务以及军团元素本获得,,,,
303,建筑精华,Item_juntuanjianzhu,Item_juntuanjianzhu_s,4,0,,,3,,,1,,,117,,,,,,,,,,,,,,,,,,,,,,,,,可用于升级军团内各建筑,通过军团内各活动获得,,,,
1001,乐,It_duanwu_4,,4,1,,,0,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,端午活动道具,端午节活动掉落,,,,
1002,快,It_duanwu_3,,4,1,,,0,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,端午活动道具,端午节活动掉落,,,,
1003,午,It_duanwu_2,,4,1,,,0,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,端午活动道具,端午节活动掉落,,,,
1004,端,It_duanwu_1,,4,1,,,0,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,端午活动道具,端午节活动掉落,,,,
1005,节日礼盒,It_box_03,,2,0,,,5,,,,0,,117,113,,,,,,,,,,,,,,,,,,,,,,,,开启后获得上述奖品中的一种。,节日活动获取,,,,
1006,精,It_aoyun_1,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,奥运活动道具,奥运活动期间野外掉落获得,,,,
1007,彩,It_aoyun_2,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,奥运活动道具,奥运活动期间野外掉落获得,,,,
1008,奥,It_aoyun_3,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,奥运活动道具,奥运活动期间野外掉落获得,,,,
1009,运,It_aoyun_4,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,奥运活动道具,奥运活动期间野外掉落获得,,,,
1010,中,It_aoyun_5,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,奥运活动道具,奥运活动期间野外掉落获得,,,,
1011,国,It_aoyun_6,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,奥运活动道具,奥运活动期间野外掉落获得,,,,
1012,加,It_aoyun_7,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,奥运活动道具,奥运活动期间野外掉落获得,,,,
1013,油,It_aoyun_8,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,奥运活动道具,奥运活动期间野外掉落获得,,,,
1014,奥运铜箱,It_lockbox_1,,2,0,,,2,,,1,0,,117,113,,,,,,1,,rewardId,44053,,,,,,,,,,,,,,,开启后随机获得天空之魂，翼之精华，金币，强化石，3级宝石袋,奥运活动获得,,,,
1015,奥运银箱,It_lockbox_2,,2,0,,,3,,,1,0,,117,113,,,,,,1,,rewardId,44054,,,,,,,,,,,,,,,开启后随机获得强化石，结晶材料袋，金币，3级宝石袋,奥运活动获得,,,,
1016,奥运金箱,It_lockbox_3,,2,0,,,4,,,1,0,,117,113,,,,,,1,,rewardId,44055,,,,,,,,,,,,,,,开启后随机获得结晶材料袋，金币，3级宝石袋,奥运活动获得,,,,
1017,奥运福袋,It_aoyun_fudai,,2,0,,,3,,,1,0,,117,113,,,,,,1,,rewardId,44056,,,,,,,,,,,,,,,开启后随机获得奥运武器时装，黑暗骑士碎片，白银骑士碎片，3级宝石等道具,奥运活动获得,,,,
1018,大象安全套粉色,It_condom_pink_2,,4,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,100,,,,,,,,散落在各地的大象安全套碎片,活动期间野外掉落获得,,,,
1019,大象安全套绿色,It_condom_green_2,,4,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,100,,,,,,,,散落在各地的大象安全套碎片,活动期间野外掉落获得,,,,
1020,大象安全套金色,It_condom_yellow_2,,4,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,100,,,,,,,,散落在各地的大象安全套碎片,活动期间野外掉落获得,,,,
1021,大象金婚宝箱,It_condom_box3,,2,1,,,4,,,1,,,,,,,,,,1,,rewardId,44057,,,,,,,,,,,,,,,开启后随机获得大象安全套实体礼盒，4级宝石袋，10w金币,通过兑换获得,,,,
1022,大象纯爱宝箱,It_condom_box2,,2,1,,,3,,,1,,,,,,,,,,1,,rewardId,44058,,,,,,,,,,,,,,,开启后随机获得3级宝石袋，5w金币，600强化石,通过兑换获得,,,,
1023,大象安全套礼盒,It_condom_pink,,4,1,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,关注永恒手游官方微信yonghengsy兑换永恒定制版大象安全套全年套装一盒,开启大象金婚宝箱有概率获得,,,,
1024,大象安全套礼盒,It_condom_green,,4,1,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,关注永恒手游官方微信yonghengsy兑换永恒定制版大象安全套全年套装一盒,开启大象金婚宝箱有概率获得,,,,
1025,大象安全套礼盒,It_condom_yellow,,4,1,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,关注永恒手游官方微信yonghengsy兑换永恒定制版大象安全套全年套装一盒,开启大象金婚宝箱有概率获得,,,,
1026,中,It_zhongqiu_1,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,中秋活动道具,中秋活动期间野外掉落获得,,,,
1027,秋,It_zhongqiu_2,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,中秋活动道具,中秋活动期间野外掉落获得,,,,
1028,快,It_zhongqiu_3,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,中秋活动道具,中秋活动期间野外掉落获得,,,,
1029,乐,It_zhongqiu_4,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,中秋活动道具,中秋活动期间野外掉落获得,,,,
1030,樂,It_zhongqiu_9,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,中秋活动道具,中秋活动期间野外掉落获得,,,,
1031,花,It_zhongqiu_5,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,中秋活动道具,中秋活动期间野外掉落获得,,,,
1032,好,It_zhongqiu_6,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,中秋活动道具,中秋活动期间野外掉落获得,,,,
1033,月,It_zhongqiu_7,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,中秋活动道具,中秋活动期间野外掉落获得,,,,
1034,圆,It_zhongqiu_8,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,中秋活动道具,中秋活动期间野外掉落获得,,,,
1035,圓,It_zhongqiu_10,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,中秋活动道具,中秋活动期间野外掉落获得,,,,
1036,金,It_guoqing_1,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,国庆活动道具,国庆活动期间野外掉落获得,,,,
1037,秋,It_guoqing_2,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,国庆活动道具,国庆活动期间野外掉落获得,,,,
1038,十,It_guoqing_3,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,国庆活动道具,国庆活动期间野外掉落获得,,,,
1039,月,It_guoqing_4,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,国庆活动道具,国庆活动期间野外掉落获得,,,,
1040,举,It_guoqing_5,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,国庆活动道具,国庆活动期间野外掉落获得,,,,
1041,国,It_guoqing_6,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,国庆活动道具,国庆活动期间野外掉落获得,,,,
1042,同,It_guoqing_7,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,国庆活动道具,国庆活动期间野外掉落获得,,,,
1043,庆,It_guoqing_8,,4,1,,,3,,,1,,,117,110,,,,,,,,,,,,,,,,100,,,,,,,,国庆活动道具,国庆活动期间野外掉落获得,,,,
10001,永恒祝福,Item_Equip_FG_060308,,23,0,,,3,,,1,0,,117,112,,,,[5003700],,,,,,,,,,,,,,,,,,,,,,,,,
10002,王者祝福,Item_Equip_FG_060308,,23,0,,,3,,,1,0,,117,112,,,,[5003701],,,,,,,,,,,,,,,,,,,,,,,,,
10003,生命祝福,Item_Equip_FG_060308,,23,0,,,3,,,1,0,,117,112,,,,[5003702],,,,,,,,,,,,,,,,,,,,,,,,,
10004,坚毅祝福,Item_Equip_FG_060308,,23,0,,,3,,,1,0,,117,112,,,,[5003703],,,,,,,,,,,,,,,,,,,,,,,,,
10005,重生祝福,Item_Equip_FG_060308,,23,0,,,3,,,1,0,,117,112,,,,[5003704],,,,,,,,,,,,,,,,,,,,,,,,,
10006,风之祝福,Item_Equip_FG_060308,,23,0,,,3,,,1,0,,117,112,,,,[5003705],,,,,,,,,,,,,,,,,,,,,,,,,
101001,测试红装50级,Eqred_10101,,1,2,100,1016011,6,,,1,0,,115,112,,,,,1,,,,,,,,,,,1400,,,,,,,,侍从长弓,,,,,
101002,测试红装55级,Eqred_10201,,1,2,100,1016012,6,,,1,0,,115,112,,,,,1,,,,,,,,,,,1400,,,,,,,,侍从长弓,,,,,
101003,测试红装60级,Eqred_20101,,1,2,100,1016013,6,,,1,0,,115,112,,,,,1,,,,,,,,,,,1400,,,,,,,,侍从长弓,,,,,
101004,测试红装65级,Eqred_20201,,1,2,100,1016014,6,,,1,0,,115,112,,,,,1,,,,,,,,,,,1400,,,,,,,,侍从长弓,,,,,
101005,测试红装70级,Eqred_30101,,1,2,100,1016015,6,,,1,0,,115,112,,,,,1,,,,,,,,,,,1400,,,,,,,,侍从长弓,,,,,
101006,测试红装75级,Eqred_30201,,1,2,100,1016016,6,,,1,0,,115,112,,,,,1,,,,,,,,,,,1400,,,,,,,,侍从长弓,,,,,
101007,测试红装80级,It_equip_random,,1,2,100,1016017,6,,,1,0,,115,112,,,,,1,,,,,,,,,,,1400,,,,,,,,侍从长弓,,,,,
101008,测试印戒,It_equip_random,,1,2,100,1011011,3,,,1,0,,116,112,,,,,1,,,,,,,,,,,700,,1,,,,,,丛林长靴,,,,,
101011,测试长剑,It_equip_random,,1,2,100,1011011,4,,,99,0,,115,113,,,,,1,,,,,,,,,,,1400,,,,,,,,帝国长剑,,,,,
101012,测试护面,It_equip_random,,1,2,100,1011011,4,,,99,0,,116,113,,,,,1,,,,,,,,,,,1300,,,,,,,,帝国护符,,,,,
101013,测试肩卫,It_equip_random,,1,2,100,1011011,4,,,99,0,,116,113,,,,,1,,,,,,,,,,,1200,,1,,,,,,帝国徽戒,,,,,
101014,测试外衣,It_equip_random,,1,2,100,1011011,4,,,99,0,,116,113,,,,,1,,,,,,,,,,,1100,,1,,,,,,帝国头盔,,,,,
101015,测试护腿,It_equip_random,,1,2,100,1011011,4,,,99,0,,116,113,,,,,1,,,,,,,,,,,1000,,1,,,,,,帝国护肩,,,,,
101016,测试长靴,It_equip_random,,1,2,100,1011011,4,,,99,0,,116,113,,,,,1,,,,,,,,,,,900,,1,,,,,,帝国胸甲,,,,,
101017,测试项圈,It_equip_random,,1,2,100,1011011,4,,,99,0,,116,113,,,,,1,,,,,,,,,,,800,,1,,,,,,帝国护腿,,,,,
101018,测试印戒,It_equip_random,,1,2,100,1011011,4,,,99,0,,116,113,,,,,1,,,,,,,,,,,700,,1,,,,,,帝国重靴,,,,,
101021,测试法杖,It_equip_random,,1,2,100,1011011,5,,,99,2,,115,114,,,,,1,,,,,,,,,,,1400,,,,,,,,贤者法杖,,,,,
101022,测试护面,It_equip_random,,1,2,100,1011011,5,,,99,0,,116,114,,,,,1,,,,,,,,,,,1300,,,,,,,,贤者吊坠,,,,,
101023,测试肩卫,It_equip_random,,1,2,100,1011011,5,,,99,0,,116,114,,,,,1,,,,,,,,,,,1200,,1,,,,,,贤者之戒,,,,,
101024,测试外衣,It_equip_random,,1,2,100,1011011,5,,,99,0,,116,114,,,,,1,,,,,,,,,,,1100,,1,,,,,,贤者头冠,,,,,
101025,测试护腿,It_equip_random,,1,2,100,1011011,5,,,99,0,,116,114,,,,,1,,,,,,,,,,,1000,,1,,,,,,贤者披肩,,,,,
101026,测试长靴,It_equip_random,,1,2,100,1011011,5,,,99,0,,116,114,,,,,1,,,,,,,,,,,900,,1,,,,,,贤者上衣,,,,,
101027,测试项圈,It_equip_random,,1,2,100,1011011,5,,,99,0,,116,114,,,,,1,,,,,,,,,,,800,,1,,,,,,贤者下摆,,,,,
101028,测试印戒,It_equip_random,,1,2,100,1011011,5,,,99,0,,116,114,,,,,1,,,,,,,,,,,700,,1,,,,,,贤者便鞋,,,,,
102001,测试材料1,Item_Equip_FG_030208,,2,0,,,1,,,1,0,,117,110,,,,,,,,,,,,,,,,600,10,,,,,,,测试材料1,获取途径描述获取途径描述,,,,
102002,测试材料2,Item_Equip_FG_030209,,2,0,,,2,,,2,1,,117,111,,,,,,,,,,,,,,,,500,15,,,,,,,测试材料2,获取途径描述获取途径描述,,,,
102003,测试材料3,Item_Equip_FG_040307,,2,0,,,3,,,3,0,,117,112,,,,,,,,,,,,,,,,600,20,,,,,,,测试材料3,获取途径描述获取途径描述,,,,
102004,测试材料4,Item_Equip_FG_040308,,2,0,,,4,,,4,2,,117,113,,,,,,,,,,,,,,,,500,25,,,,,,,测试材料4,获取途径描述获取途径描述,,,,
102005,测试材料5,Item_Equip_FG_040309,,2,0,,,5,,,5,0,,117,114,,,,,,,,,,,,,,,,600,30,,,,,,,测试材料5,获取途径描述获取途径描述,,,,
102006,测试材料6,Item_Equip_FG_040310,,2,0,,,1,,,6,3,,117,110,,,,,,,,,,,,,,,,500,35,,,,,,,测试材料6,获取途径描述获取途径描述,,,,
102007,测试材料7,Item_Equip_FG_050307,,2,0,,,2,,,7,0,,117,111,,,,,,,,,,,,,,,,600,40,,,,,,,测试材料7,获取途径描述获取途径描述,,,,
102008,测试材料8,Item_Equip_FG_050309,,2,0,,,3,,,8,1,,117,112,,,,,,,,,,,,,,,,500,45,,,,,,,测试材料8,获取途径描述获取途径描述,,,,
102009,树妖血液,Item_Equip_FG_050310,,2,0,,,4,,,9,0,,117,113,,,,,,,,,,,,,,,,600,50,,,,,,,测试材料9,获取途径描述获取途径描述,,,,
102010,测试材料10,Item_Equip_FG_060307,,2,0,,,5,,,10,2,,117,114,,,,,,,,,,,,,,,,500,55,,,,,,,测试材料10,获取途径描述获取途径描述,,,,
102011,测试材料11,Item_Equip_FG_060308,,2,0,,,1,,,11,3,,117,110,,,,,,,,,,,,,,,,500,60,,,,,,,测试材料11,获取途径描述获取途径描述,,,,
102012,光之结晶,It_hero_light,Icon_fortress_light,4,0,,,3,,,1,0,,117,112,,,,,,,,,,,,,,,,500,60,,,,,,,武将升级所需材料,通过要塞袭击、保卫要塞、分解武将获得,,,,
102013,暗之结晶,It_hero_dark,Icon_fortress_dark,4,0,,,3,,,1,0,,117,112,,,,,,,,,,,,,,,,500,60,,,,,,,武将升级所需材料,通过要塞袭击、保卫要塞、分解武将获得,,,,
102014,火之结晶,It_hero_fire,Icon_fortress_fire,4,0,,,3,,,1,0,,117,112,,,,,,,,,,,,,,,,500,60,,,,,,,武将升级所需材料,通过要塞袭击、保卫要塞、分解武将获得,,,,
102015,冰之结晶,It_hero_ice,Icon_fortress_ice,4,0,,,3,,,1,0,,117,112,,,,,,,,,,,,,,,,500,60,,,,,,,武将升级所需材料,通过要塞袭击、保卫要塞、分解武将获得,,,,
102016,小金块,It_goldpiece,,4,2,,,4,,,1,0,,117,113,,,,,,,,,,,,,,,,20000,,,,,,,,哥布林的宝藏，十分稀有，可以出售给商人换取金币,怪物掉落,,,,
102017,小金块,It_goldpiece,,2,2,8,,4,,,1,0,,117,113,,,,,,1,,rewardId,10,,,,,,,,,,,,,,,哥布林的宝藏，十分稀有，可以使用换取金币,怪物掉落,,,,
102501,测试buff,Item_Equip_FG_060308,,7,0,,,3,,,1,0,,117,112,,,,[102],,,,,,,,,,,,,,,,,,,,,,,,,
102502,藏宝图,It_goldmap07,,2,0,,,3,,,1,0,,117,112,,,,,,12,,drop,24001,spawn,"[[273510,200,24002,900],[275010,30,24003,900]]",,,,,1000,,,,,,,,使用后会自动前往目的地寻找宝藏,通过无尽任务、目标-日程获得,,,,
102503,神秘碎片1,It_goldmap01,,2,0,,,4,,,1,0,,117,112,,,,,,13,,merge,"[102505,10]",,,,,,,1000,,,,,,,,共6张碎片，点击使用可查看神秘藏宝图。,通过挖藏宝图有几率获得,,,,
102504,神秘碎片2,It_goldmap02,,2,0,,,4,,,1,0,,117,112,,,,,,13,,merge,"[102505,10]",,,,,,,1000,,,,,,,,共6张碎片，点击使用可查看神秘藏宝图。,通过挖藏宝图有几率获得,,,,
